name,web_pages,country,alpha_two_code
Abylai Khan University,['http://www.ablaikhan.kz/'],Kazakhstan,KZ
Kazak State University of Agriculture,['http://www.agriun.almaty.kz/'],Kazakhstan,KZ
Aktau State University,['http://www.aktsu.kz/'],Kazakhstan,KZ
Atyrau State University,['http://www.atgu.kz/'],Kazakhstan,KZ
East Kazakstan State Technical University,['http://www.ektu.kz/'],Kazakhstan,KZ
L.N. Gumilyov Eurasian National University,['http://www.enu.kz/'],Kazakhstan,KZ
Eurasian Institute of market,['http://www.eurazir.kz/'],Kazakhstan,KZ
Kazak American University,['http://www.kau.kz/'],Kazakhstan,KZ
Turar Ryskulov Kazakh Economic University,['http://www.kazeu.kz/'],Kazakhstan,KZ
Abai State University,['http://www.kaznpu.kz/'],Kazakhstan,KZ
Kazak National Technical University,['http://www.kazntu.kz/'],Kazakhstan,KZ
Al-Farabi Kazakh National University,['http://www.kaznu.kz/'],Kazakhstan,KZ
Kazakh British Technical University,['http://www.kbtu.kz/'],Kazakhstan,KZ
"Kazakhstan Institute of Management, Economics, and Strategic Research",['http://www.kimep.kz/'],Kazakhstan,KZ
Karaganda State Technical University,['http://www.kstu.kz/'],Kazakhstan,KZ
Kostanai State University,['http://www.ksu.kst.kz/'],Kazakhstan,KZ
Karaganda State Buketov University,['http://www.ksu.kz/'],Kazakhstan,KZ
North Kazakhstan State University,['http://www.nkzu.kz/'],Kazakhstan,KZ
Pavlodar University,['http://www.psu.kz/'],Kazakhstan,KZ
Suleyman Demirel University,['http://www.sdu.edu.kz/'],Kazakhstan,KZ
Semey State University,['http://www.semgu.kz/'],Kazakhstan,KZ
Semey State Medical University,['http://www.sgma.kz/'],Kazakhstan,KZ
International Kazakh-Turkish University,['http://www.turkistan.kz/'],Kazakhstan,KZ
University of International Business,['http://www.uib.kz/'],Kazakhstan,KZ
East Kazakhstan State University,['http://www.vkgu.kz/'],Kazakhstan,KZ
Western Kazakhstan Agricultural University,['http://www.wkau.kz/'],Kazakhstan,KZ
Zhezkazgan Baikonurov University,['http://www.zhezu.kz/'],Kazakhstan,KZ
Zhetysu State University,['http://www.zhgu.kz/'],Kazakhstan,KZ
Nazarbayev University,['https://nu.edu.kz/'],Kazakhstan,KZ
