tuition_in_state_usd,tuition_out_of_state_usd,admission_rate,sat_average,act_midpoint,name,city,state,country,source
10024.0,18634.0,0.5795,938.0,18.0,Alabama A & M University,Normal,AL,United States,collegescorecard.ed.gov
9098.0,22562.0,0.8818,1258.0,27.0,University of Alabama at Birmingham,Birmingham,AL,United States,collegescorecard.ed.gov
7590.0,7590.0,,,,Amridge University,Montgomery,AL,United States,collegescorecard.ed.gov
12132.0,26408.0,0.6857,1319.0,28.0,University of Alabama in Huntsville,Huntsville,AL,United States,collegescorecard.ed.gov
11248.0,19576.0,0.9755,976.0,18.0,Alabama State University,Montgomery,AL,United States,collegescorecard.ed.gov
12180.0,34172.0,0.7665,1285.0,26.0,The University of Alabama,Tuscaloosa,AL,United States,collegescorecard.ed.gov
5110.0,8980.0,,,,Central Alabama Community College,Alexander City,AL,United States,collegescorecard.ed.gov
,,,,,Athens State University,Athens,AL,United States,collegescorecard.ed.gov
9700.0,20668.0,0.9157,1093.0,21.0,Auburn University at Montgomery,Montgomery,AL,United States,collegescorecard.ed.gov
12890.0,34922.0,0.4592,1345.0,,Auburn University,Auburn,AL,United States,collegescorecard.ed.gov
5100.0,8970.0,,,,Chattahoochee Valley Community College,Phenix City,AL,United States,collegescorecard.ed.gov
18145.0,18145.0,,,,South University-Montgomery,Montgomery,AL,United States,collegescorecard.ed.gov
5100.0,8970.0,,,,Enterprise State Community College,Enterprise,AL,United States,collegescorecard.ed.gov
5040.0,8910.0,,,,Coastal Alabama Community College,Bay Minette,AL,United States,collegescorecard.ed.gov
23920.0,23920.0,0.7307,1020.0,20.0,Faulkner University,Montgomery,AL,United States,collegescorecard.ed.gov
4272.0,7368.0,,,,Gadsden State Community College,Gadsden,AL,United States,collegescorecard.ed.gov
,,,,,New Beginning College of Cosmetology,Albertville,AL,United States,collegescorecard.ed.gov
4980.0,8850.0,,,,George C Wallace Community College-Dothan,Dothan,AL,United States,collegescorecard.ed.gov
5220.0,9090.0,,,,George C Wallace State Community College-Hanceville,Hanceville,AL,United States,collegescorecard.ed.gov
4740.0,8610.0,,,,George C Wallace State Community College-Selma,Selma,AL,United States,collegescorecard.ed.gov
13450.0,13450.0,0.9326,,,Herzing University-Birmingham,Birmingham,AL,United States,collegescorecard.ed.gov
29070.0,29070.0,0.6949,1142.0,22.0,Huntingdon College,Montgomery,AL,United States,collegescorecard.ed.gov
11982.0,11982.0,0.9,1020.0,,Heritage Christian University,Florence,AL,United States,collegescorecard.ed.gov
5190.0,9060.0,,,,J. F. Drake State Community and Technical College,Huntsville,AL,United States,collegescorecard.ed.gov
6084.0,6084.0,,,,J F Ingram State Technical College,Deatsville,AL,United States,collegescorecard.ed.gov
12894.0,23334.0,0.7769,1059.0,20.0,Jacksonville State University,Jacksonville,AL,United States,collegescorecard.ed.gov
5100.0,8970.0,,,,Jefferson State Community College,Birmingham,AL,United States,collegescorecard.ed.gov
5120.0,8990.0,,,,John C Calhoun State Community College,Tanner,AL,United States,collegescorecard.ed.gov
5040.0,8910.0,,,,Lawson State Community College,Birmingham,AL,United States,collegescorecard.ed.gov
10990.0,20090.0,0.4265,1015.0,19.0,University of West Alabama,Livingston,AL,United States,collegescorecard.ed.gov
5190.0,9060.0,,,,Lurleen B Wallace Community College,Andalusia,AL,United States,collegescorecard.ed.gov
9538.0,15538.0,0.9703,1068.0,22.0,Marion Military Institute,Marion,AL,United States,collegescorecard.ed.gov
13314.0,13314.0,,,,Miles College,Fairfield,AL,United States,collegescorecard.ed.gov
26910.0,26910.0,0.7789,1220.0,,University of Mobile,Mobile,AL,United States,collegescorecard.ed.gov
13948.0,26968.0,0.5385,,23.0,University of Montevallo,Montevallo,AL,United States,collegescorecard.ed.gov
5131.0,9001.0,,,,Northwest Shoals Community College,Muscle Shoals,AL,United States,collegescorecard.ed.gov
12120.0,22320.0,0.8731,,,University of North Alabama,Florence,AL,United States,collegescorecard.ed.gov
5040.0,8910.0,,,,Northeast Alabama Community College,Rainsville,AL,United States,collegescorecard.ed.gov
22512.0,22512.0,0.4522,,,Oakwood University,Huntsville,AL,United States,collegescorecard.ed.gov
5454.0,9324.0,,,,Reid State Technical College,Evergreen,AL,United States,collegescorecard.ed.gov
5340.0,9210.0,,,,Bishop State Community College,Mobile,AL,United States,collegescorecard.ed.gov
40150.0,40150.0,0.8236,1201.0,26.0,Samford University,Birmingham,AL,United States,collegescorecard.ed.gov
4800.0,4800.0,,,,Selma University,Selma,AL,United States,collegescorecard.ed.gov
5127.0,8997.0,,,,Shelton State Community College,Tuscaloosa,AL,United States,collegescorecard.ed.gov
5278.0,9664.0,,,,Snead State Community College,Boaz,AL,United States,collegescorecard.ed.gov
10116.0,19092.0,0.7096,1147.0,23.0,University of South Alabama,Mobile,AL,United States,collegescorecard.ed.gov
24054.0,24054.0,0.7657,1120.0,19.0,Spring Hill College,Mobile,AL,United States,collegescorecard.ed.gov
12126.0,12126.0,0.6225,,,Stillman College,Tuscaloosa,AL,United States,collegescorecard.ed.gov
15650.0,15650.0,0.8542,,,Talladega College,Talladega,AL,United States,collegescorecard.ed.gov
5190.0,9060.0,,,,H Councill Trenholm State Community College,Montgomery,AL,United States,collegescorecard.ed.gov
10176.0,20352.0,0.9604,1088.0,21.0,Troy University,Troy,AL,United States,collegescorecard.ed.gov
25386.0,25386.0,0.4868,1120.0,22.0,Tuskegee University,Tuskegee,AL,United States,collegescorecard.ed.gov
13800.0,13800.0,0.6137,,,United States Sports University,Daphne,AL,United States,collegescorecard.ed.gov
4734.0,8346.0,,,,Bevill State Community College,Jasper,AL,United States,collegescorecard.ed.gov
7738.0,21322.0,,,,University of Alaska Anchorage,Anchorage,AK,United States,collegescorecard.ed.gov
9730.0,9730.0,,,,Alaska Bible College,Palmer,AK,United States,collegescorecard.ed.gov
8736.0,22320.0,,,22.0,University of Alaska Fairbanks,Fairbanks,AK,United States,collegescorecard.ed.gov
7056.0,20640.0,0.6329,,,University of Alaska Southeast,Juneau,AK,United States,collegescorecard.ed.gov
20760.0,20760.0,0.9645,,,Alaska Pacific University,Anchorage,AK,United States,collegescorecard.ed.gov
,,,,,Alaska Vocational Technical Center,Seward,AK,United States,collegescorecard.ed.gov
18375.0,18375.0,,,,Charter College,Anchorage,AK,United States,collegescorecard.ed.gov
,,,,,Alaska Career College,Anchorage,AK,United States,collegescorecard.ed.gov
