World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1 Top 0.1%,Harvard University,USA,1,1,1,1,1,100.0
2 Top 0.1%,Massachusetts Institute of Technology,USA,2,4,12,3,9,96.7
3 Top 0.1%,Stanford University,USA,3,11,4,2,2,95.2
4 Top 0.1%,University of Cambridge,United Kingdom,1,3,25,5,11,94.1
5 Top 0.1%,University of Oxford,United Kingdom,2,7,27,9,4,93.3
6 Top 0.1%,Princeton University,USA,4,5,16,6,82,92.6
7 Top 0.1%,University of Chicago,USA,5,8,15,22,28,92.1
8 Top 0.1%,Columbia University,USA,6,12,14,10,13,91.6
9 Top 0.1%,University of Pennsylvania,USA,7,14,8,45,12,91.2
10 Top 0.1%,Yale University,USA,8,6,35,13,21,90.8
11 Top 0.1%,California Institute of Technology,USA,9,2,96,7,83,90.4
12 Top 0.1%,"University of California, Berkeley",USA,10,9,59,4,16,90.1
13 Top 0.1%,University of Tokyo,Japan,1,37,6,113,30,89.8
14 Top 0.1%,Cornell University,USA,11,16,29,18,23,89.5
15 Top 0.1%,Northwestern University,USA,12,99,17,31,31,89.3
16 Top 0.1%,"University of Michigan, Ann Arbor",USA,13,32,40,62,7,89.1
17 Top 0.1%,Johns Hopkins University,USA,14,22,192,20,8,88.8
18 Top 0.1%,"University of California, Los Angeles",USA,15,31,63,16,15,88.6
19 Top 0.1%,University College London,United Kingdom,3,35,664,14,5,88.4
20 Top 0.1%,Duke University,USA,16,58,49,19,24,88.2
21 Top 0.2%,PSL University,France,1,17,31,111,91,88.0
22 Top 0.2%,University of Illinois at Urbana–Champaign,USA,17,19,143,11,74,87.9
23 Top 0.2%,University of Toronto,Canada,1,233,163,23,3,87.7
24 Top 0.2%,New York University,USA,18,40,45,47,46,87.5
25 Top 0.2%,University of Washington,USA,19,74,227,25,10,87.4
26 Top 0.2%,McGill University,Canada,2,25,109,36,45,87.2
27 Top 0.2%,Kyoto University,Japan,2,38,32,64,79,87.1
28 Top 0.2%,University of Wisconsin–Madison,USA,20,36,102,30,41,87.0
29 Top 0.2%,Imperial College London,United Kingdom,4,68,123,55,18,86.8
30 Top 0.2%,ETH Zurich,Switzerland,1,64,88,24,42,86.7
31 Top 0.2%,Seoul National University,South Korea,1,299,22,154,57,86.6
32 Top 0.2%,Paris-Saclay University,France,2,152,137,46,14,86.4
33 Top 0.2%,"University of California, San Diego",USA,21,128,1520,12,22,86.3
34 Top 0.2%,University of Texas at Austin,USA,22,92,64,17,63,86.2
35 Top 0.2%,University of Copenhagen,Denmark,1,96,379,41,26,86.1
36 Top 0.2%,"University of California, San Francisco",USA,23,-,1554,15,27,86.0
37 Top 0.2%,University of North Carolina at Chapel Hill,USA,24,76,92,71,39,85.9
